id,"term","category",weight
219,"#ceo","13",1
220,"#ceo","27",4
221,"#chicago","33",50
222,"#chicago","8",22
223,"#children","33",16
224,"#china","18",204
225,"#china","32",36
226,"#chinaliedpeopledied","18",36
227,"#chinese","18",21
228,"#chloroquine","5",18
229,"#church","33",14
230,"#climate","28",7
231,"#climate","39",5
232,"#climatechange","20",24
233,"#climatechange","24",14
234,"#climatecrisis","38",5
235,"#climatecrisis","7",9
236,"#clinicaltrials","5",8
237,"#clustertrump","0",17
238,"#cnn","0",47
239,"#cnntownhall","24",45
240,"#cnntownhall","38",10
241,"#coffee","38",7
242,"#coffee","30",3
243,"#college","34",11
244,"#colorado","23",6
245,"#colorado","33",20
246,"#colorado","36",11
247,"#comedy","13",5
248,"#comedy","30",18
249,"#community","10",10
250,"#community","33",30
251,"#congress","26",15
252,"#connecticut","1",10
253,"#construction","2",15
254,"#costco","33",8
255,"#cre","26",14
256,"#cre","1",16
257,"#cre","4",6
258,"#creditunions","34",6
259,"#creditunions","39",6
260,"#crisis","20",5
261,"#crisis","33",14
262,"#crisis","34",15
263,"#cuba","32",9
264,"#culture","33",2
265,"#culture","30",6
266,"#cuomo","19",12
267,"#cuomo","3",10
268,"#cybersecurity","10",21
269,"#cybersecurity","7",26
270,"#dallas","33",11
271,"#data","4",43
272,"#datascience","4",10
273,"#dc","4",6
274,"#dc","33",14
275,"#dc","36",6
276,"#dearmrpresident","33",20
277,"#death","24",7
278,"#death","33",5
279,"#deaths","3",14
280,"#deepstate","0",15
281,"#delivery","20",6
282,"#dementia","10",9
283,"#democracy","14",18
284,"#democrat","0",11
285,"#democrats","0",37
286,"#denver","33",16
287,"#depression","24",8
288,"#depression","34",7
289,"#design","33",7
290,"#detroit","16",8
291,"#detroit","25",8
292,"#detroit","12",17
293,"#diabetes","24",16
294,"#digital","34",14
295,"#digitalhealth","34",11
296,"#digitalmarketing","34",14
297,"#digitaltransformation","34",14
298,"#dinner","33",6
299,"#disney","23",13
300,"#distancelearning","39",27
301,"#diy","38",20
302,"#dmv","33",11
303,"#doctor","33",10
304,"#doctors","33",7
305,"#doctors","38",10
306,"#dogs","33",8
307,"#dogs","38",9
308,"#dogsofinstagram","33",6
309,"#dogsofinstagram","14",1
310,"#domesticviolence","28",11
311,"#donaldtrump","0",41
312,"#drbirx","11",3
313,"#drbirx","32",2
314,"#drbirx","30",5
315,"#drfauci","0",46
316,"#dumptrump","0",12
317,"#dumptrump","25",2
318,"#dyk","9",7
319,"#earthquake","33",10
320,"#earthquake","12",13
321,"#easter","23",7
322,"#easter","33",22
323,"#ecommerce","1",13
324,"#economic","4",10
325,"#economy","1",50
326,"#edtech","23",8
327,"#edtech","34",9
328,"#education","23",12
329,"#education","34",12
330,"#education","39",12
331,"#election2020","14",22
332,"#emergency","11",8
333,"#emergency","33",3
334,"#empathy","33",7
335,"#employees","2",15
336,"#employers","11",11
337,"#ems","24",7
338,"#ems","38",9
339,"#energy","1",7
340,"#energy","6",6
341,"#entrepreneur","34",12
342,"#entrepreneurs","34",8
343,"#environment","38",14
344,"#epitwitter","4",8
345,"#epitwitter","3",2
346,"#essential","33",10
347,"#essential","30",2
348,"#essentialservices","26",1
349,"#essentialservices","2",5
350,"#essentialservices","33",1
351,"#essentialworker","33",17
352,"#essentialworkers","33",38
353,"#eu","32",10
354,"#europe","32",13
355,"#exercise","33",3
356,"#exercise","30",9
357,"#extralifeunited ","27",19
358,"#facebook","31",19
359,"#facemask","33",11
360,"#facemask","38",52
361,"#facemasks","38",48
362,"#faceshield","38",4
363,"#faceshield","8",1
364,"#faceshields","38",5
365,"#facts","10",6
366,"#facts","33",12
367,"#fail","31",12
368,"#faith","33",22
369,"#fakenews","0",73
370,"#fakenewsmedia","0",9
371,"#family","33",28
372,"#fashion","38",8
373,"#fauci","0",35
374,"#fda","5",18
375,"#fear","20",10
376,"#filmyourhospital","22",2
377,"#filmyourhospital","8",9
378,"#fintech","23",2
379,"#fintech","39",10
380,"#firefauci","0",5
381,"#firefauci","30",10
382,"#firstresponders","33",25
383,"#firstresponders","6",8
384,"#fishing","33",2
385,"#fishing","38",8
386,"#fitness","1",4
387,"#fitness","30",19
388,"#flapol","36",10
389,"#flatteningthecurve","11",3
390,"#flatteningthecurve","33",6
391,"#flattenthecurve","17",25
392,"#flattenthecurve","33",137
393,"#flattenthecuve","33",8
394,"#florida","36",147
395,"#flu","8",29
396,"#follow","13",1
397,"#follow","15",2
398,"#follow","30",4
399,"#food","2",12
400,"#food","33",15
401,"#foxnews","31",35
402,"#foxnews","0",42
403,"#foxnewsliedaspeopledied","0",6
404,"#foxnewsliedaspeopledied","4",1
405,"#foxnewslies","17",12
406,"#france","32",11
407,"#fraud","31",13
408,"#free","34",13
409,"#freedom","31",4
410,"#freedom","18",2
411,"#freedom","33",4
412,"#freethemall","17",7
413,"#friday","33",11
414,"#fridayfeeling","33",9
415,"#fridayfeeling","30",16
416,"#fridaymotivation","33",12
417,"#fridaythoughts","33",27
418,"#fridayvibes","33",7
419,"#fridayvibes","30",7
420,"#friends","33",8
421,"#friends","22",2
422,"#frontline","33",5
423,"#frontline","22",5
424,"#frontlineheroes","33",10
425,"#frontlineheroes","28",5
426,"#frontlineheroes","9",7
427,"#frontliners","20",6
428,"#frontliners","38",2
429,"#frontlines","24",2
430,"#frontlines","33",11
431,"#funny","33",26
432,"#gaming","30",10
433,"#gapol","36",17
434,"#gay","4",2
435,"#gay","30",10
436,"#generalconference","39",9
437,"#generalstrike","0",6
438,"#generalstrike","25",2
439,"#georgia","23",26
440,"#georgia","33",8
441,"#georgia","39",8
442,"#germany","32",13
443,"#getmeppe","33",22
444,"#gloves","8",3
445,"#gloves","12",4
446,"#god","33",10
447,"#god","34",2
448,"#god","25",2
449,"#golf","30",16
450,"#goodnews","2",11
451,"#goodnews","36",6
452,"#goodnews","3",9
453,"#google","32",20
454,"#gop","0",34
455,"#gopgenocide","0",9
456,"#government","0",8
457,"#government","13",6
458,"#grateful","30",10
459,"#gratitude","33",15
460,"#grief","32",11
461,"#grief","39",3
462,"#grocery","2",5
463,"#grocery","1",6
464,"#groceryshopping","38",5
465,"#groceryshopping","12",7
466,"#handsanitizer","38",25
467,"#handwashing","12",19
468,"#happyhour","33",8
469,"#hawaii","33",7
470,"#hawaii","21",15
471,"#hawaii","36",26
472,"#health","33",53
473,"#health","32",35
474,"#healthcare","1",33
475,"#healthcare","33",40
476,"#healthcare","34",42
477,"#healthcare providers","29",9
478,"#healthcare workers","9",23
479,"#healthcareheroes","33",30
480,"#healthcareheroes","9",72
481,"#healthcareworkers","33",35
482,"#healthinsurance","23",14
483,"#healthy","33",13
484,"#healthyathome","6",6
485,"#help","33",25
486,"#hero","33",11
487,"#heroes","13",4
488,"#heroes","33",10
489,"#highered","29",4
490,"#highered","39",19
491,"#hiphop","30",12
492,"#hiring","2",9
493,"#history","23",2
494,"#history","32",5
495,"#history","36",2
496,"#hiv","11",6
497,"#hiv","7",6
498,"#hiv","5",9
499,"#hoax","0",14
500,"#hoax","13",7
501,"#holyweek","33",13
502,"#home","33",14
503,"#homecare has","18",40
504,"#homeless","33",21
505,"#homeless","6",15
506,"#homelessness","6",10
507,"#homelessness","5",2
508,"#homemade","38",9
509,"#homeschool","30",11
510,"#homeschool","39",8
511,"#homeschooling","34",8
512,"#homeschooling","30",15
513,"#hope","33",53
514,"#hopefromhome","13",8
515,"#hospital","38",15
516,"#hospitals","19",13
517,"#hospitals","33",18
518,"#housing","26",12
519,"#houston","33",27
520,"#hr","34",14
521,"#humor","33",21
522,"#hydroxychloriquine","24",13
523,"#hydroxychloriquine","5",6
524,"#hydroxychloroquine","0",22
525,"#hydroxychloroquine","5",131
526,"#hydroxychloroquineandazithromycin","20",7
527,"#hydroxycloroquine","5",30
528,"#icu","19",22
529,"#icymi","13",14
530,"#icymi","1",26
531,"#icymi","27",29
532,"#idiotinchief","0",12
533,"#illinois","4",7
534,"#illinois","35",23
535,"#impotus","31",2
536,"#impotus","0",12
537,"#india","32",47
538,"#indiana","10",11
539,"#inittogether","33",11
540,"#inittogether","12",6
541,"#innovation","34",27
542,"#inspiration","33",8
543,"#insurance","1",9
544,"#insurance","23",11
545,"#inthistogether","33",60
546,"#investing","1",2
547,"#investing","33",8
548,"#iowa","35",25
549,"#iran","10",16
550,"#iran","18",35
551,"#irs","26",10
552,"#isolation","33",17
553,"#isolation","30",29
554,"#isolationlife","33",3
555,"#isolationlife","30",7
556,"#israel","17",15
557,"#italy","32",36
558,"#italy","9",9
559,"#ivermectin","5",11
560,"#japan","10",9
561,"#japan","25",3
562,"#japan","29",7
563,"#jaredkushner","0",30
564,"#jesus","33",17
565,"#jobs","1",32
566,"#joebiden","0",5
567,"#joebiden","18",12
568,"#joeexotic","16",4
569,"#joeexotic","30",14
570,"#johnprine","16",31
571,"#journalism","31",6
572,"#journalism","39",7
573,"#kag","0",21
574,"#kag2020","0",15
575,"#kentucky","35",18
576,"#keystonexl pipeline","23",15
577,"#kids","33",7
578,"#kids","30",3
579,"#kushner","0",8
580,"#kushnerisanidiot","0",8
581,"#la","33",14
582,"#la","36",8
583,"#lacounty","15",3
584,"#lacounty","33",9
585,"#lasvegas","23",17
586,"#leadership","10",13
587,"#leadership","28",19
588,"#leadership","38",20
589,"#leadership","34",13
590,"#lgbt","33",10
591,"#lgbtq","33",14
592,"#lgbtq","5",5
593,"#liarinchief","0",13
594,"#lies","31",3
595,"#lies","0",7
596,"#life","33",23
597,"#live","37",17
598,"#live","30",3
599,"#livestream","37",6
600,"#livestream","30",2
601,"#lockdown","33",145
602,"#lockdown","30",102
603,"#lockdowneffect","30",56
604,"#lockdownextension","33",20
605,"#lol","33",15
606,"#losangeles","33",58
607,"#louisiana","8",17
608,"#louisiana","3",9
609,"#love","33",40
610,"#lubbock","4",2
611,"#lubbock","22",4
612,"#lubbock","35",7
613,"#lupus","5",10
614,"#m4a","17",4
615,"#m4a","38",3
616,"#ma","16",8
617,"#ma","33",6
618,"#maga","0",79
619,"#maga2020","0",14
620,"#magats","0",2
621,"#magats","2",2
622,"#magats","32",3
623,"#maine","29",12
624,"#manufacturers","20",8
625,"#manufacturing","9",15
626,"#mapoli","36",12
627,"#marketing","34",58
628,"#markets","1",11
629,"#martiallaw","32",12
630,"#maryland","10",20
631,"#maryland","16",6
632,"#mask","33",23
633,"#mask","38",48
634,"#masks","33",22
635,"#masks","38",73
636,"#masks4all","33",13
637,"#masks4all","38",62
638,"#masks4all : make","17",15
639,"#masksforall","38",13
640,"#massachusetts","33",26
641,"#meded","5",13
642,"#media","31",28
643,"#medicaid","29",12
644,"#medical","33",13
645,"#medical","9",9
646,"#medicare","26",10
647,"#medicareforall","33",20
648,"#medicareforall","8",9
649,"#medicine","33",7
650,"#meditation","33",7
651,"#medrxiv","19",16
652,"#medtwitter","20",25
653,"#medtwitter","19",16
654,"#mentalhealth","11",17
655,"#mentalhealth","6",33
656,"#mentalhealth","34",51
657,"#mentalhealthmatters","34",11
658,"#mexico","21",6
659,"#mexico","14",3
660,"#mexico","29",2
661,"#miami","33",14
662,"#miami","36",10
663,"#michigan","36",27
664,"#michigan","3",11
665,"#microsoft","31",9
666,"#military","0",12
667,"#military","39",3
668,"#milwaukee","14",12
669,"#milwaukee","8",3
670,"#minnesota","29",9
671,"#misinformation","31",16
672,"#mississippi","22",5
673,"#mississippi","9",8
674,"#missouri","13",3
675,"#missouri","9",9
676,"#mlb","14",11
677,"#moleg","26",12
678,"#mondaymood","33",6
679,"#mondaymood","30",9
680,"#mondaymorning","33",34
681,"#mondaymotivation","33",15
682,"#mondaythoughts","30",12
683,"#mondaythoughts","12",5
684,"#money","33",16
685,"#money","34",5
686,"#moneyforthepeople","26",17
687,"#mortgage","26",7
688,"#mortgage","13",4
689,"#motivation","32",8
690,"#motivation","30",6
691,"#msm","0",13
692,"#msnbc","0",23
693,"#music","33",23
694,"#music","30",23
695,"#n95","38",13
696,"#n95masks","0",3
697,"#n95masks","38",14
698,"#nakedchallenge","33",12
699,"#nashville","33",5
700,"#nashville","35",6
701,"#nationalpublichealthweek","10",1
702,"#nationalpublichealthweek","6",5
703,"#nature","33",19
704,"#navy","0",5
705,"#navy","28",10
706,"#nba","14",16
707,"#nc","29",14
708,"#ncpol","29",12
709,"#nebraska","21",6
710,"#nebraska","3",5
711,"#nebraska","39",3
712,"#netflix","30",17
713,"#nevada","10",6
714,"#nevada","36",6
715,"#nevada","9",8
716,"#new","21",15
717,"#new","35",22
718,"#newjersey","23",10
719,"#newjersey","33",10
720,"#newjersey","36",7
721,"#newmusic","30",11
722,"#newnormal","33",18
723,"#newnormal","38",9
724,"#neworleans","33",22
725,"#news","10",25
726,"#news","31",59
727,"#news","33",24
728,"#news ","39",20
729,"#newyork","33",30
730,"#newyork","36",40
731,"#newyork","3",39
732,"#newyorkcity","16",6
733,"#newyorkcity","33",10
734,"#nfl","13",10
735,"#nfl","14",4
736,"#nfldraft","13",4
737,"#nfldraft","14",3
738,"#nhs","33",13
739,"#nj","10",5
740,"#nj","23",6
741,"#nola","33",9
742,"#nola","9",3
743,"#nonprofit","27",12
744,"#nonprofits","34",23
745,"#notmeus","33",9
746,"#notmeus","8",2
747,"#notmypresident","0",13
748,"#nurse","33",15
749,"#nurses","33",23
750,"#nurses","9",15
751,"#ny","33",18
752,"#ny","3",7
753,"#nyc","19",41
754,"#nyc","33",108
755,"#nyclockdown","33",17
756,"#nys","37",2
757,"#nys","36",4
758,"#nys","3",6
759,"#oakland","23",3
760,"#oakland","37",4
761,"#obama","0",13
762,"#ohio","33",17
763,"#ohio","22",36
764,"#oil","1",7
765,"#oil","33",7
766,"#oklahoma","15",7
767,"#oklahoma","35",26
768,"#olderadults","18",21
769,"#online","34",2
770,"#online","39",6
771,"#onlinelearning","39",10
772,"#onlyfans","30",8
773,"#orangecounty","33",9
774,"#orangecounty","21",3
775,"#oregon","31",8
776,"#oregon","36",13
777,"#orlando","23",11
778,"#outbreak","18",30
779,"#outbreak","33",11
780,"#outbreak","30",7
781,"#pa","36",9
782,"#pakistan","32",9
783,"#palmsunday","33",37
784,"#palmsunday2020","33",9
785,"#pandemia","33",12
786,"#pandemic","20",102
787,"#pandemic","33",333
788,"#pandemic","38",161
789,"#pandemics","1",3
790,"#pandemics","32",14
791,"#pandemics","34",3
792,"#pandumbic","24",3
793,"#pandumbic","4",4
794,"#pandumbic","33",4
795,"#parenting","13",7
796,"#parenting","30",8
797,"#parents","13",2
798,"#parents","33",8
799,"#passover","22",21
800,"#passover2020","38",6
801,"#passover2020","34",2
802,"#patients","13",5
803,"#patients","12",1
804,"#patriots","0",8
805,"#peace","2",3
806,"#peace","17",1
807,"#peace","33",2
808,"#pedsicu","19",6
809,"#pennsylvania","21",11
810,"#people","33",8
811,"#peternavarro","0",7
812,"#pets","38",13
813,"#philadelphia","23",10
814,"#philly","33",19
815,"#philly","9",6
816,"#photography","33",14
817,"#photography","30",4
818,"#physicaldistancing","33",21
819,"#pittsburgh","25",13
820,"#plandemic","12",14
821,"#podcast","10",15
822,"#podcast","13",49
823,"#poetry","33",12
824,"#police","16",3
825,"#police","33",7
826,"#police","6",2
827,"#politics","10",10
828,"#politics","0",7
829,"#politics","18",8
830,"#potus","0",52
831,"#ppe","38",63
832,"#ppe","9",42
833,"#ppeshortage","38",28
834,"#ppploan","31",2
835,"#ppploan","26",5
836,"#pray","33",14
837,"#prayer","32",7
838,"#prayer","30",2
839,"#pregnancy","31",2
840,"#pregnancy","11",11
841,"#president","13",8
842,"#presidenttrump","10",4
843,"#presidenttrump","0",7
844,"#presidenttrump","25",2
845,"#pressbriefing","0",7
846,"#pressbriefing","33",3
847,"#pressconference","0",40
848,"#privacy","10",8
849,"#privacy","31",13
850,"#protectnurses during","14",37
851,"#protectourcare","2",20
852,"#psa","33",9
853,"#psa","12",4
854,"#publichealth","17",18
855,"#publichealth","33",40
856,"#puertorico","10",2
857,"#puertorico","20",9
858,"#qanon","0",26
859,"#quarantine","33",358
860,"#quarantine ","30",367
861,"#quarantineandchill","30",35
862,"#quarantined","20",5
863,"#quarantined","33",10
864,"#quarantinediaries","30",57
865,"#quarantinelife","33",61
866,"#quarantinelife","30",360
867,"#quarantineradio","33",7
868,"#quarantineradio","30",7
869,"#quaratinelife","30",18
870,"#quarentine","33",6
871,"#quarentine","30",18
872,"#quarentinelife","30",44
873,"#queenelizabeth","12",7
874,"#queensspeech","12",8
875,"#quote","17",13
876,"#racism","33",3
877,"#racism","7",10
878,"#racist","0",16
879,"#rap","30",8
880,"#realdonaldtrump","33",8
881,"#realdonaldtrump","22",4
882,"#realestate","10",12
883,"#realestate","1",39
884,"#recovery","33",10
885,"#remotelearning","33",12
886,"#remotelearning","29",2
887,"#remotework","34",26
888,"#remoteworking","34",15
889,"#rentrelief","25",5
890,"#rentrelief","12",9
891,"#rentstrike","10",11
892,"#repost","33",29
893,"#repost","30",9
894,"#republican","0",8
895,"#research","5",29
896,"#resilience","13",17
897,"#resist","0",17
898,"#resist","12",14
899,"#restaurant","23",10
900,"#restaurants","33",13
901,"#restaurants","14",3
902,"#retail","10",8
903,"#retail","1",15
904,"#retweet","33",10
905,"#rgv","21",14
906,"#rip","16",27
907,"#roc","2",4
908,"#roc","33",8
909,"#rona","33",7
910,"#rona","30",19
911,"#russia","18",11
912,"#russia","9",6
913,"#safeathome","33",4
914,"#safeathome","28",2
915,"#safeathome","30",3
916,"#saferathome","33",40
917,"#safety","2",9
918,"#safety","33",13
919,"#safetyfirst","33",17
920,"#sales","34",18
921,"#sanantonio","2",3
922,"#sanantonio","37",6
923,"#sandiego","31",15
924,"#sandiego","33",29
925,"#sanfrancisco","33",31
926,"#saturday","23",5
927,"#saturday","14",1
928,"#saturdaymorning","33",23
929,"#saturdaymotivation","33",7
930,"#saturdaythoughts","33",19
931,"#saturdaythoughts","30",6
932,"#saturdayvibes","33",11
933,"#saturdayvibes","39",2
934,"#savelives","33",14
935,"#sba","26",22
936,"#scams","31",18
937,"#school","23",7
938,"#school","34",3
939,"#school","14",2
940,"#science","5",13
941,"#science","12",21
942,"#scotus","14",23
943,"#seattle","10",16
944,"#seattle","33",14
945,"#security","31",5
946,"#security","34",18
947,"#selfcare","33",17
948,"#selfcare","34",15
949,"#selfie","33",3
950,"#selfie","38",4
951,"#selfisolation","30",15
952,"#selfquarantine","33",12
953,"#selfquarantine","30",25
954,"#seniors","18",36
955,"#seo","13",16
956,"#sf","2",3
957,"#sf","33",6
958,"#shelteringinplace","31",3
959,"#shelteringinplace","33",12
960,"#shelterinplace","33",102
961,"#shelterinplace order","5",5
962,"#shoplocal","33",11
963,"#shopping","2",9
964,"#shutdown","23",7
965,"#shutdown","33",8
966,"#sinceivebeenquarantined","30",17
967,"#singapore","10",7
968,"#singapore","25",3
969,"#singapore","3",2
970,"#slowthespread","33",4
971,"#slowthespread","12",16
972,"#smallbiz","26",10
973,"#smallbiz","34",18
974,"#smallbiz","27",7
975,"#smallbusiness","26",43
976,"#smallbusiness","11",20
977,"#smallbusinesses","34",15
978,"#smartnews","19",28
979,"#smartnews","16",76
980,"#smartnews","32",31
981,"#smile","33",8
982,"#snap","26",3
983,"#snap","1",4
984,"#snapchat","30",8
985,"#social distancing","20",1
986,"#social distancing","17",3
987,"#social distancing","33",2
988,"#social distancing","36",1
989,"#socialdistanacing","33",14
990,"#socialdistanacing","30",16
991,"#socialdistance","33",40
992,"#socialdistancingnow","38",15
993,"#socialmedia","10",7
994,"#socialmedia","34",17
995,"#soundcloud","30",8
996,"#southcarolina","31",3
997,"#southcarolina","17",2
998,"#southcarolina","23",4
999,"#southkorea","18",6
1000,"#southkorea","25",8
1001,"#spain","32",14
1002,"#sports","14",8
1003,"#spring","33",12
1004,"#springbreak","14",9
1005,"#startup","34",15
1006,"#startups","34",25
1007,"#stayathome","33",367
1008,"#stayathome","30",205
1009,"#stayathome order","36",28
1010,"#stayathome orders","23",5
1011,"#stayathome orders","4",3
1012,"#stayathome orders","34",7
1013,"#stayathomeorder","33",18
1014,"#stayathomeorder","36",17
1015,"#stayathomeorder","30",10
1016,"#stayhealthy","33",23
1017,"#stayhome ","33",827
1018,"#stayhome","30",303
1019,"#stayhomemn","33",19
1020,"#stayhomesavelives","33",262
1021,"#stayhomesavelives","30",56
1022,"#stayhomestaysafe","33",17
1023,"#stayhomestaysafe","30",32
1024,"#stayhomestaysafe","12",8
1025,"#stayinghome","30",14
1026,"#stayinghome","39",8
1027,"#stayinside","33",16
1028,"#staysafe","33",178
1029,"#staysafe","12",30
1030,"#staysafestayhome","38",5
1031,"#staysafestayhome","30",12
1032,"#staystrong","33",11
1033,"#staythefuckhome","30",14
1034,"#stimulus","26",20
1035,"#stimulusbill","26",11
1036,"#stimuluscheck","26",23
1037,"#stimuluspackage2020","26",7
1038,"#stl","33",9
1039,"#stl","21",3
1040,"#stockmarket","1",14
1041,"#stocks","10",5
1042,"#stocks","1",8
1043,"#stopthespread","33",41
1044,"#stopthespread","12",30
1045,"#stress","34",22
1046,"#strongertogether","33",22
1047,"#students","34",13
1048,"#sundayfunday","33",6
1049,"#sundaymorning","33",13
1050,"#sundaythoughts","33",12
1051,"#sundaythoughts","30",22
1052,"#supermoon","30",8
1053,"#supplychain","1",4
1054,"#supplychain","7",14
1055,"#supplychain","9",8
1056,"#support","27",8
1057,"#support","39",2
1058,"#sweden","5",6
1059,"#sweden","29",4
1060,"#taiwan","38",9
1061,"#taiwan","8",3
1062,"#takeout","20",5
1063,"#taskforce","0",11
1064,"#tax","26",19
1065,"#tbt","33",16
1066,"#tcnweatherwa","37",19
1067,"#teachers","31",4
1068,"#teachers","24",1
1069,"#teachers","33",2
1070,"#teamkentucky","33",13
1071,"#tech","10",7
1072,"#tech","31",8
1073,"#tech","17",5
1074,"#tech","9",13
1075,"#technology","10",12
1076,"#technology","9",22
1077,"#telehealth","34",39
1078,"#telemedicine","19",9
1079,"#telemedicine","34",7
1080,"#telemedicine","39",16
1081,"#tennessee","33",4
1082,"#tennessee","35",17
1083,"#tesla","9",10
1084,"#test","15",14
1085,"#testing","15",31
1086,"#texas","33",21
1087,"#texas","36",34
1088,"#thankful","33",6
1089,"#thankyou","33",26
1090,"#thankyou","9",11
1091,"#theoffice","30",11
1092,"#therona","33",15
1093,"#thursdaymotivation","33",14
1094,"#thursdaythoughts","30",22
1095,"#tiger","16",23
1096,"#tigerking","16",43
1097,"#tigerking","30",47
1098,"#tigerkingnetflix","30",15
1099,"#tiktok","33",66
1100,"#tiktok","30",15
1101,"#tips","12",10
1102,"#togetherapart","33",9
1103,"#toiletpaper","2",6
1104,"#toiletpaper","33",24
